"Area Name","Area Type","Year","Month","Seasonally Adjusted(Y/N)","Status","Labor Force","Employment","Unemployment","Unemployment Rate"
"Pasadena city","Sub-County Place","2015","Annual","N","Final","76900","72300","4600","5.9"
"Pico Rivera city","Sub-County Place","2015","Annual","N","Final","29700","27900","1800","6.2"
"Pomona city","Sub-County Place","2015","Annual","N","Final","66600","61600","5000","7.5"
"Quartz Hill CDP","Sub-County Place","2015","Annual","N","Final","4500","4300","200","4.6"
"Rancho Palos Verdes city","Sub-County Place","2015","Annual","N","Final","18900","18300","600","3.2"
"Redondo Beach city","Sub-County Place","2015","Annual","N","Final","39800","38100","1600","4.1"
"Rolling Hills city","Sub-County Place","2015","Annual","N","Final","500","500","0","6.7"
"Rolling Hills Estates city","Sub-County Place","2015","Annual","N","Final","3400","3100","200","6.8"
"Rosemead city","Sub-County Place","2015","Annual","N","Final","25100","23100","1900","7.7"
"Rowland Heights CDP","Sub-County Place","2015","Annual","N","Final","23600","22100","1600","6.6"
"San Dimas city","Sub-County Place","2015","Annual","N","Final","17500","16600","900","5.3"
"San Fernando city","Sub-County Place","2015","Annual","N","Final","11600","11000","600","5.1"
"San Gabriel city","Sub-County Place","2015","Annual","N","Final","20500","19700","800","4.1"
"San Marino city","Sub-County Place","2015","Annual","N","Final","5600","5400","200","3.3"
"Santa Clarita city","Sub-County Place","2015","Annual","N","Final","94800","89000","5800","6.1"
"Santa Fe Springs city","Sub-County Place","2015","Annual","N","Final","8700","8400","400","4.5"
"Santa Monica city","Sub-County Place","2015","Annual","N","Final","55300","52100","3100","5.7"
"Sierra Madre city","Sub-County Place","2015","Annual","N","Final","6000","5700","300","4.5"
"Signal Hill city","Sub-County Place","2015","Annual","N","Final","6000","5800","200","4.1"
"South El Monte city","Sub-County Place","2015","Annual","N","Final","8800","8300","500","5.4"
"South Gate city","Sub-County Place","2015","Annual","N","Final","43000","39200","3800","8.7"
"South Pasadena city","Sub-County Place","2015","Annual","N","Final","14600","13900","700","4.7"
"South San Gabriel CDP","Sub-County Place","2015","Annual","N","Final","3600","3500","100","4.1"
"South San Jose Hills CDP","Sub-County Place","2015","Annual","N","Final","9600","8900","800","7.8"
"South Whittier CDP","Sub-County Place","2015","Annual","N","Final","28500","27100","1400","5"
"Temple City city","Sub-County Place","2015","Annual","N","Final","17600","16800","800","4.4"
"Torrance city","Sub-County Place","2015","Annual","N","Final","76500","73000","3600","4.7"
"Val Verde CDP","Sub-County Place","2015","Annual","N","Final","1500","1400","100","6.6"
"Valinda CDP","Sub-County Place","2015","Annual","N","Final","11300","10600","700","6.2"
"Vernon city","Sub-County Place","2015","Annual","N","Final","100","100","0","7.9"
"View Park Windsor Hills CDP","Sub-County Place","2015","Annual","N","Final","5800","5200","600","9.8"
"Walnut city","Sub-County Place","2015","Annual","N","Final","15500","14800","700","4.8"
"Walnut Park CDP","Sub-County Place","2015","Annual","N","Final","8100","7500","600","7.7"
"West Athens CDP","Sub-County Place","2015","Annual","N","Final","4600","4000","500","11.2"
"West Carson CDP","Sub-County Place","2015","Annual","N","Final","11300","10700","700","5.7"
"West Covina city","Sub-County Place","2015","Annual","N","Final","53100","48700","4300","8.2"
"West Hollywood city","Sub-County Place","2015","Annual","N","Final","25500","24100","1400","5.5"
"West Puente Valley CDP","Sub-County Place","2015","Annual","N","Final","10600","9800","800","7.1"
"West Whittier Los Nietos CDP","Sub-County Place","2015","Annual","N","Final","11900","11300","600","4.7"
"Westlake Village city","Sub-County Place","2015","Annual","N","Final","3700","3600","100","2.1"
"Westmont CDP","Sub-County Place","2015","Annual","N","Final","15100","13400","1600","10.9"
"Whittier city","Sub-County Place","2015","Annual","N","Final","42500","40300","2200","5.3"
"Willowbrook CDP","Sub-County Place","2015","Annual","N","Final","10000","9000","900","9.4"
"Bonadelle Ranchos Madera Ranchos CDP","Sub-County Place","2015","Annual","N","Final","2300","2200","100","4.1"
"Chowchilla city","Sub-County Place","2015","Annual","N","Final","4500","4100","300","7.8"
"Madera Acres CDP","Sub-County Place","2015","Annual","N","Final","4100","3800","300","7"
"Madera city","Sub-County Place","2015","Annual","N","Final","26000","23700","2400","9.1"
"Oakhurst CDP","Sub-County Place","2015","Annual","N","Final","2400","2200","200","7.7"
"Parksdale CDP","Sub-County Place","2015","Annual","N","Final","1000","800","200","22.1"
"Parkwood CDP","Sub-County Place","2015","Annual","N","Final","1100","900","300","25.6"
"Yosemite Lakes CDP","Sub-County Place","2015","Annual","N","Final","1900","1800","100","7.4"
"Bootjack CDP","Sub-County Place","2015","Annual","N","Final","250","240","0","1.6"
"Mariposa CDP","Sub-County Place","2015","Annual","N","Final","530","500","20","4"
"Yosemite Valley CDP","Sub-County Place","2015","Annual","N","Final","1240","1170","70","5.4"
"Covelo CDP","Sub-County Place","2015","Annual","N","Final","430","380","50","12"
"Fort Bragg city","Sub-County Place","2015","Annual","N","Final","2540","2420","120","4.6"
"Laytonville CDP","Sub-County Place","2015","Annual","N","Final","400","340","50","13.6"
"Mendocino CDP","Sub-County Place","2015","Annual","N","Final","480","470","10","1.9"
"Point Arena city","Sub-County Place","2015","Annual","N","Final","200","180","10","7.1"
"Ukiah city","Sub-County Place","2015","Annual","N","Final","7600","7150","450","6"
"Willits city","Sub-County Place","2015","Annual","N","Final","1800","1640","160","9.1"
"Atwater city","Sub-County Place","2015","Annual","N","Final","12200","10700","1500","12.6"
"Delhi CDP","Sub-County Place","2015","Annual","N","Final","4900","4400","500","11.1"
"Dos Palos city","Sub-County Place","2015","Annual","N","Final","2500","2200","300","11.7"
"Gustine city","Sub-County Place","2015","Annual","N","Final","2500","2000","400","17.4"
"Hilmar Irwin CDP","Sub-County Place","2015","Annual","N","Final","2400","2300","200","6.3"
"Le Grand CDP","Sub-County Place","2015","Annual","N","Final","600","600","100","11.1"
"Livingston city","Sub-County Place","2015","Annual","N","Final","6400","5700","700","10.5"
"Los Banos city","Sub-County Place","2015","Annual","N","Final","15700","13900","1800","11.7"
"Merced city","Sub-County Place","2015","Annual","N","Final","34400","30700","3700","10.8"
"Planada CDP","Sub-County Place","2015","Annual","N","Final","1400","1100","200","18"
"South Dos Palos CDP","Sub-County Place","2015","Annual","N","Final","400","400","100","18.5"
"Winton CDP","Sub-County Place","2015","Annual","N","Final","4600","3900","700","15"
"Bret Harte CDP","Sub-County Place","2015","Annual","N","Final","1600","1300","300","17.4"
"Bystrom CDP","Sub-County Place","2015","Annual","N","Final","1400","1200","200","17.6"
"Ceres city","Sub-County Place","2015","Annual","N","Final","21400","19200","2200","10.2"
"Denair CDP","Sub-County Place","2015","Annual","N","Final","2400","2200","200","6.9"
"East Oakdale CDP","Sub-County Place","2015","Annual","N","Final","1000","900","100","6.3"
"Empire CDP","Sub-County Place","2015","Annual","N","Final","1500","1200","200","15.1"
"Hughson city","Sub-County Place","2015","Annual","N","Final","3400","2900","400","13.4"
"Keyes CDP","Sub-County Place","2015","Annual","N","Final","2000","1900","100","6.4"
"Modesto city","Sub-County Place","2015","Annual","N","Final","94800","86000","8900","9.4"
"Newman city","Sub-County Place","2015","Annual","N","Final","5900","5100","700","12.4"
"Oakdale city","Sub-County Place","2015","Annual","N","Final","10500","9400","1100","10.6"
"Patterson city","Sub-County Place","2015","Annual","N","Final","10600","9700","900","8.2"
"Riverbank city","Sub-County Place","2015","Annual","N","Final","10400","9600","800","7.9"
"Salida CDP","Sub-County Place","2015","Annual","N","Final","7400","6600","800","10.6"
"Turlock city","Sub-County Place","2015","Annual","N","Final","33800","30900","2900","8.5"
"Waterford city","Sub-County Place","2015","Annual","N","Final","3800","3400","300","8.6"
"West Modesto CDP","Sub-County Place","2015","Annual","N","Final","2300","2000","300","12.1"
"Alturas city","Sub-County Place","2015","Annual","N","Final","990","850","140","14.5"
"Mammoth Lakes town","Sub-County Place","2015","Annual","N","Final","4770","4770","0","0"
"American Canyon city","Sub-County Place","2015","Annual","N","Final","11900","11300","500","4.6"
"Angwin CDP","Sub-County Place","2015","Annual","N","Final","1700","1600","100","7.9"
"Calistoga city","Sub-County Place","2015","Annual","N","Final","2400","2400","100","2.3"
"Deer Park CDP","Sub-County Place","2015","Annual","N","Final","400","300","0","3.6"
"Napa city","Sub-County Place","2015","Annual","N","Final","41900","39800","2100","4.9"
"St. Helena city","Sub-County Place","2015","Annual","N","Final","2800","2700","100","3"
"Yountville town","Sub-County Place","2015","Annual","N","Final","1600","1500","100","7.1"
"Alta Sierra CDP","Sub-County Place","2015","Annual","N","Final","4030","3800","230","5.7"
"Grass Valley city","Sub-County Place","2015","Annual","N","Final","5870","5690","180","3"
"Lake of the Pines CDP","Sub-County Place","2015","Annual","N","Final","2050","1920","130","6.4"
"Lake Wildwood CDP","Sub-County Place","2015","Annual","N","Final","1700","1590","110","6.2"
"Nevada City city","Sub-County Place","2015","Annual","N","Final","1390","1350","40","2.9"
"Penn Valley CDP","Sub-County Place","2015","Annual","N","Final","350","350","0","0"
"Truckee town","Sub-County Place","2015","Annual","N","Final","9340","8810","540","5.7"
"Camarillo city","Sub-County Place","2015","Annual","N","Final","33800","32100","1600","4.8"
"Casa Conejo CDP","Sub-County Place","2015","Annual","N","Final","1500","1500","0","3.1"
"Channel Islands Beach CDP","Sub-County Place","2015","Annual","N","Final","1500","1400","0","3"
"El Rio CDP","Sub-County Place","2015","Annual","N","Final","3000","2600","400","12.7"
"Fillmore city","Sub-County Place","2015","Annual","N","Final","8100","7800","400","4.4"
"Meiners Oaks CDP","Sub-County Place","2015","Annual","N","Final","2000","1900","0","2.4"
"Mira Monte CDP","Sub-County Place","2015","Annual","N","Final","3300","3000","300","8.9"
"Moorpark city","Sub-County Place","2015","Annual","N","Final","19400","18500","900","4.4"
"Oak Park CDP","Sub-County Place","2015","Annual","N","Final","6600","6300","300","4.3"
"Oak View CDP","Sub-County Place","2015","Annual","N","Final","3100","3100","0","1"
"Ojai city","Sub-County Place","2015","Annual","N","Final","3600","3400","200","6.2"
"Oxnard city","Sub-County Place","2015","Annual","N","Final","100100","93900","6200","6.2"
"Piru CDP","Sub-County Place","2015","Annual","N","Final","1000","900","100","9.9"
"Port Hueneme city","Sub-County Place","2015","Annual","N","Final","10600","9900","800","7.1"
"San Buenaventura (Ventura) city","Sub-County Place","2015","Annual","N","Final","56400","53200","3200","5.7"
"Santa Paula city","Sub-County Place","2015","Annual","N","Final","14000","12900","1000","7.4"
"Simi Valley city","Sub-County Place","2015","Annual","N","Final","68600","65200","3400","5"
"Thousand Oaks city","Sub-County Place","2015","Annual","N","Final","66600","62900","3700","5.5"
"Auburn city","Sub-County Place","2015","Annual","N","Final","5800","5500","300","4.7"
"Colfax city","Sub-County Place","2015","Annual","N","Final","1000","900","0","4.7"
"Dollar Point CDP","Sub-County Place","2015","Annual","N","Final","500","500","0","3.9"
"Foresthill CDP","Sub-County Place","2015","Annual","N","Final","300","300","0","3.9"
"Granite Bay CDP","Sub-County Place","2015","Annual","N","Final","9200","8900","300","3.8"
"Kings Beach CDP","Sub-County Place","2015","Annual","N","Final","1800","1700","0","1.6"
"Lincoln city","Sub-County Place","2015","Annual","N","Final","18400","17300","1000","5.6"
"Loomis town","Sub-County Place","2015","Annual","N","Final","2600","2500","100","3.9"
"Meadow Vista CDP","Sub-County Place","2015","Annual","N","Final","1400","1300","100","6.2"
"North Auburn CDP","Sub-County Place","2015","Annual","N","Final","5500","5400","100","1.7"
"Rocklin city","Sub-County Place","2015","Annual","N","Final","30000","28500","1500","5.1"
"Roseville city","Sub-County Place","2015","Annual","N","Final","63700","60700","3100","4.8"
"Sunnyside Tahoe City CDP","Sub-County Place","2015","Annual","N","Final","800","800","0","0"
"Tahoe Vista CDP","Sub-County Place","2015","Annual","N","Final","600","600","0","0"
"Beckwourth CDP","Sub-County Place","2015","Annual","N","Final","150","150","0","0"
"Belden CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Bucks Lake CDP","Sub-County Place","2015","Annual","N","Final","20","20","0","0"
"C Road CDP","Sub-County Place","2015","Annual","N","Final","30","30","0","0"
"Canyondam CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Chester CDP","Sub-County Place","2015","Annual","N","Final","1060","1020","40","3.5"
"Chilcoot Vinton CDP","Sub-County Place","2015","Annual","N","Final","120","100","20","15.4"
"Clio CDP","Sub-County Place","2015","Annual","N","Final","80","40","40","52.6"
"Crescent Mills CDP","Sub-County Place","2015","Annual","N","Final","30","30","0","0"
"Cromberg CDP","Sub-County Place","2015","Annual","N","Final","120","100","20","15.7"
"Delleker CDP","Sub-County Place","2015","Annual","N","Final","230","160","70","30.7"
"East Quincy CDP","Sub-County Place","2015","Annual","N","Final","1150","1130","20","1.4"
"East Shore CDP","Sub-County Place","2015","Annual","N","Final","50","40","10","13"
"Graeagle CDP","Sub-County Place","2015","Annual","N","Final","170","170","0","0"
"Greenhorn CDP","Sub-County Place","2015","Annual","N","Final","90","90","0","0"
"Greenville CDP","Sub-County Place","2015","Annual","N","Final","440","380","60","14.2"
"Hamilton Branch CDP","Sub-County Place","2015","Annual","N","Final","130","120","10","8.7"
"Indian Falls CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Iron Horse CDP","Sub-County Place","2015","Annual","N","Final","60","60","0","0"
"Johnsville CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Keddie CDP","Sub-County Place","2015","Annual","N","Final","30","20","10","35.5"
"La Porte CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Lake Almanor Country Club CDP","Sub-County Place","2015","Annual","N","Final","160","120","40","23.1"
"Lake Almanor Peninsula CDP","Sub-County Place","2015","Annual","N","Final","110","100","10","10.1"
"Lake Almanor West CDP","Sub-County Place","2015","Annual","N","Final","60","60","0","0"
"Little Grass Valley CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Meadow Valley CDP","Sub-County Place","2015","Annual","N","Final","150","150","0","0"
"Mohawk Vista CDP","Sub-County Place","2015","Annual","N","Final","30","30","0","0"
"Paxton CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Plumas Eureka CDP","Sub-County Place","2015","Annual","N","Final","140","120","20","12.9"
"Portola city","Sub-County Place","2015","Annual","N","Final","800","720","90","10.6"
"Prattville CDP","Sub-County Place","2015","Annual","N","Final","10","10","10","50"
"Quincy CDP","Sub-County Place","2015","Annual","N","Final","970","880","90","9.5"
"Spring Garden CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Taylorsville CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Tobin CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Twain CDP","Sub-County Place","2015","Annual","N","Final","90","60","30","28.9"
"Valley Ranch CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Whitehawk CDP","Sub-County Place","2015","Annual","N","Final","10","10","0","0"
"Anderson city","Sub-County Place","2015","Annual","N","Final","4300","3900","300","7.8"
"Burney CDP","Sub-County Place","2015","Annual","N","Final","1000","900","200","15.1"
"Cottonwood CDP","Sub-County Place","2015","Annual","N","Final","2500","2500","100","3.6"
"Fall River Mills CDP","Sub-County Place","2015","Annual","N","Final","200","200","0","10.9"
"Redding city","Sub-County Place","2015","Annual","N","Final","39500","36700","2800","7.2"
"Shasta Lake city","Sub-County Place","2015","Annual","N","Final","4000","3600","400","9.4"
"Shingletown CDP","Sub-County Place","2015","Annual","N","Final","800","800","100","6.3"
"Banning city","Sub-County Place","2015","Annual","N","Final","10600","10000","600","5.9"
"Beaumont city","Sub-County Place","2015","Annual","N","Final","19500","18700","800","4"
"Bermuda Dunes CDP","Sub-County Place","2015","Annual","N","Final","3000","2800","200","7.2"
"Blythe city","Sub-County Place","2015","Annual","N","Final","4200","3900","300","7.4"
"Cabazon CDP","Sub-County Place","2015","Annual","N","Final","1100","1100","0","0"
"Calimesa city","Sub-County Place","2015","Annual","N","Final","3800","3600","200","4.3"
"Canyon Lake city","Sub-County Place","2015","Annual","N","Final","5000","4800","200","3.9"
"Cathedral City city","Sub-County Place","2015","Annual","N","Final","24900","23500","1400","5.5"
"Cherry Valley CDP","Sub-County Place","2015","Annual","N","Final","3200","2800","400","12"
"Coachella city","Sub-County Place","2015","Annual","N","Final","18600","16600","1900","10.4"
"Corona city","Sub-County Place","2015","Annual","N","Final","79700","75500","4200","5.2"
"Desert Hot Springs city","Sub-County Place","2015","Annual","N","Final","11100","10200","900","8"
"East Hemet CDP","Sub-County Place","2015","Annual","N","Final","8200","7400","800","9.2"
"Eastvale City city","Sub-County Place","2015","Annual","N","Final","28700","27400","1300","4.5"
"El Cerrito CDP","Sub-County Place","2015","Annual","N","Final","2300","2200","100","3.5"
"Hemet city","Sub-County Place","2015","Annual","N","Final","28700","26100","2700","9.3"
"Highgrove CDP","Sub-County Place","2015","Annual","N","Final","3200","3000","200","5"
"Home Gardens CDP","Sub-County Place","2015","Annual","N","Final","5600","5300","200","4"
"Homeland CDP","Sub-County Place","2015","Annual","N","Final","2600","2400","200","8.4"
"Idyllwild Pine Cove CDP","Sub-County Place","2015","Annual","N","Final","1200","1100","100","9"
"Indian Wells city","Sub-County Place","2015","Annual","N","Final","1600","1500","100","5"
"Indio city","Sub-County Place","2015","Annual","N","Final","38200","35400","2800","7.3"
"Jurupa Valley city","Sub-County Place","2015","Annual","N","Final","45300","41300","4000","8.8"
"La Quinta city","Sub-County Place","2015","Annual","N","Final","17700","16900","800","4.3"
"Lake Elsinore city","Sub-County Place","2015","Annual","N","Final","27400","25400","2000","7.2"
"Lakeland Village CDP","Sub-County Place","2015","Annual","N","Final","4900","4600","300","5.8"
"Lakeview CDP","Sub-County Place","2015","Annual","N","Final","1000","1000","0","2.6"
"March AFB CDP","Sub-County Place","2015","Annual","N","Final","200","200","0","0"
"Mecca CDP","Sub-County Place","2015","Annual","N","Final","2500","2100","400","15.9"
"Menifee City","Sub-County Place","2015","Annual","N","Final","36700","33800","2900","7.9"
"Moreno Valley city","Sub-County Place","2015","Annual","N","Final","90800","84300","6500","7.2"
"Murrieta city","Sub-County Place","2015","Annual","N","Final","51800","49000","2800","5.4"
"Norco city","Sub-County Place","2015","Annual","N","Final","11100","10500","600","5.4"
"Nuevo CDP","Sub-County Place","2015","Annual","N","Final","3200","3000","200","4.9"
"Palm Desert city","Sub-County Place","2015","Annual","N","Final","23100","22000","1100","4.8"
"Palm Springs city","Sub-County Place","2015","Annual","N","Final","21700","20500","1200","5.5"
"Perris city","Sub-County Place","2015","Annual","N","Final","29400","26500","2900","9.8"
"Rancho Mirage city","Sub-County Place","2015","Annual","N","Final","6100","5500","600","9.5"
"Riverside city","Sub-County Place","2015","Annual","N","Final","147500","138000","9500","6.4"
"Romoland CDP","Sub-County Place","2015","Annual","N","Final","1100","1000","100","5.1"
"San Jacinto city","Sub-County Place","2015","Annual","N","Final","18200","16400","1800","10.1"
"Temecula city","Sub-County Place","2015","Annual","N","Final","52100","49600","2500","4.8"
"Thousand Palms CDP","Sub-County Place","2015","Annual","N","Final","3000","2800","100","4.5"
"Valle Vista CDP","Sub-County Place","2015","Annual","N","Final","7300","6800","500","6.8"
"Wildomar city","Sub-County Place","2015","Annual","N","Final","16600","15400","1100","6.8"
"Winchester CDP","Sub-County Place","2015","Annual","N","Final","1200","1100","100","5.3"
"Woodcrest CDP","Sub-County Place","2015","Annual","N","Final","8000","7500","400","5.4"
"Arden Arcade CDP","Sub-County Place","2015","Annual","N","Final","41200","38400","2800","6.9"
"Carmichael CDP","Sub-County Place","2015","Annual","N","Final","34100","32200","1900","5.6"
"Citrus Heights city","Sub-County Place","2015","Annual","N","Final","42900","40200","2700","6.3"
"Elk Grove CDP","Sub-County Place","2015","Annual","N","Final","78400","74800","3600","4.6"
"Fair Oaks CDP","Sub-County Place","2015","Annual","N","Final","14400","13900","500","3.7"
"Florin CDP","Sub-County Place","2015","Annual","N","Final","19900","18000","1900","9.3"
"Folsom city","Sub-County Place","2015","Annual","N","Final","35400","34000","1400","3.9"
"Foothill Farms CDP","Sub-County Place","2015","Annual","N","Final","14700","13600","1100","7.3"
"Galt city","Sub-County Place","2015","Annual","N","Final","11000","10200","800","7.1"
"Gold River CDP","Sub-County Place","2015","Annual","N","Final","3400","3300","100","3.6"
"Isleton city","Sub-County Place","2015","Annual","N","Final","200","200","0","9.5"
"La Riviera CDP","Sub-County Place","2015","Annual","N","Final","5900","5700","200","3.3"
"North Highlands CDP","Sub-County Place","2015","Annual","N","Final","19800","18800","1000","5.2"
"Orangevale CDP","Sub-County Place","2015","Annual","N","Final","16200","15400","800","4.8"
"Rancho Cordova City","Sub-County Place","2015","Annual","N","Final","33400","31200","2200","6.7"
"Rancho Murieta CDP","Sub-County Place","2015","Annual","N","Final","2300","2200","100","3.1"
"Rio Linda CDP","Sub-County Place","2015","Annual","N","Final","6700","6500","200","3.7"
"Rosemont CDP","Sub-County Place","2015","Annual","N","Final","11100","10500","700","6"
"Sacramento city","Sub-County Place","2015","Annual","N","Final","226400","212000","14400","6.4"
"Vineyard CDP","Sub-County Place","2015","Annual","N","Final","17900","17100","800","4.6"
"Walnut Grove CDP","Sub-County Place","2015","Annual","N","Final","600","600","0","2.7"
"Wilton CDP","Sub-County Place","2015","Annual","N","Final","2400","2300","100","4.1"
"Aromas CDP (Monterey Co)","Sub-County Place","2015","Annual","N","Final","1800","1700","100","6.7"
"Boronda CDP","Sub-County Place","2015","Annual","N","Final","1200","1000","200","18.6"
"Bradley CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Carmel by the Sea city","Sub-County Place","2015","Annual","N","Final","1800","1700","0","1.8"
"Carmel Valley Village CDP","Sub-County Place","2015","Annual","N","Final","2300","2100","200","9.7"
"Castroville CDP","Sub-County Place","2015","Annual","N","Final","3100","2800","300","8.7"
"Chualar CDP","Sub-County Place","2015","Annual","N","Final","600","600","0","0"
"Del Monte Forest CDP","Sub-County Place","2015","Annual","N","Final","1300","1300","0","3.6"
"Del Rey Oaks city","Sub-County Place","2015","Annual","N","Final","1100","900","200","14"
"Elkhorn CDP","Sub-County Place","2015","Annual","N","Final","600","500","100","18"
"Gonzales city","Sub-County Place","2015","Annual","N","Final","4400","4100","200","5.4"
"Greenfield city","Sub-County Place","2015","Annual","N","Final","8500","8300","200","2.4"
"King City city","Sub-County Place","2015","Annual","N","Final","5500","5100","300","6.2"
"Las Lomas CDP","Sub-County Place","2015","Annual","N","Final","2000","1800","200","9.5"
"Marina city","Sub-County Place","2015","Annual","N","Final","12000","11200","700","6.1"
"Monterey city","Sub-County Place","2015","Annual","N","Final","15400","14500","900","5.8"
"Moss Landing CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","0"
"Pacific Grove city","Sub-County Place","2015","Annual","N","Final","8000","7400","700","8.2"
"Pajaro CDP","Sub-County Place","2015","Annual","N","Final","1700","1200","400","25.7"
"Prunedale CDP","Sub-County Place","2015","Annual","N","Final","10200","9200","1000","9.7"
"Salinas city","Sub-County Place","2015","Annual","N","Final","79000","72200","6800","8.6"
"San Ardo CDP","Sub-County Place","2015","Annual","N","Final","300","300","100","23.3"
"San Lucas CDP","Sub-County Place","2015","Annual","N","Final","100","100","0","0"
"Sand City city","Sub-County Place","2015","Annual","N","Final","200","200","0","3.5"
"Seaside city","Sub-County Place","2015","Annual","N","Final","18300","16700","1500","8.4"
"Soledad city","Sub-County Place","2015","Annual","N","Final","7700","6800","900","11.3"
"Spreckels CDP","Sub-County Place","2015","Annual","N","Final","100","100","0","0"
"Hollister city","Sub-County Place","2015","Annual","N","Final","18700","17200","1400","7.7"
"Ridgemark CDP","Sub-County Place","2015","Annual","N","Final","1300","1200","0","3.9"
"San Juan Bautista city","Sub-County Place","2015","Annual","N","Final","900","900","0","2.8"
"Adelanto city","Sub-County Place","2015","Annual","N","Final","9200","8200","1000","10.9"
"Apple Valley town","Sub-County Place","2015","Annual","N","Final","27800","25800","1900","6.9"
"Barstow city","Sub-County Place","2015","Annual","N","Final","8200","7400","800","9.8"
"Big Bear City CDP","Sub-County Place","2015","Annual","N","Final","4900","4600","400","7.1"
"Big Bear Lake city","Sub-County Place","2015","Annual","N","Final","2200","2100","100","4.2"
"Big River CDP","Sub-County Place","2015","Annual","N","Final","400","400","0","7.3"
"Bloomington CDP","Sub-County Place","2015","Annual","N","Final","9100","8700","400","4.3"
"Bluewater CDP","Sub-County Place","2015","Annual","N","Final","0","0","0","12.5"
"Chino city","Sub-County Place","2015","Annual","N","Final","39100","37100","1900","5"
"Chino Hills city","Sub-County Place","2015","Annual","N","Final","41300","39400","2000","4.8"
"Colton city","Sub-County Place","2015","Annual","N","Final","23900","22300","1600","6.5"
"Crestline CDP","Sub-County Place","2015","Annual","N","Final","4200","4000","200","5"
"Fontana city","Sub-County Place","2015","Annual","N","Final","94600","87900","6700","7"
"Grand Terrace city","Sub-County Place","2015","Annual","N","Final","6300","5800","500","7.9"
"Hesperia city","Sub-County Place","2015","Annual","N","Final","34600","31500","3100","8.8"
"Highland city","Sub-County Place","2015","Annual","N","Final","23600","22200","1300","5.7"
"Joshua Tree CDP","Sub-County Place","2015","Annual","N","Final","2800","2600","200","7.3"
"Lake Arrowhead CDP","Sub-County Place","2015","Annual","N","Final","4100","3900","200","5.6"
"Lenwood CDP","Sub-County Place","2015","Annual","N","Final","1700","1700","100","4.2"
"Loma Linda city","Sub-County Place","2015","Annual","N","Final","11100","10400","700","6.4"
"Mentone CDP","Sub-County Place","2015","Annual","N","Final","4300","4100","100","3.4"
"Montclair city","Sub-County Place","2015","Annual","N","Final","18300","17300","1000","5.5"
"Morongo Valley CDP","Sub-County Place","2015","Annual","N","Final","1400","1300","100","8.5"
"Mountain View Acres CDP","Sub-County Place","2015","Annual","N","Final","900","900","100","9.8"
"Muscoy CDP","Sub-County Place","2015","Annual","N","Final","3900","3500","400","10"
"Needles city","Sub-County Place","2015","Annual","N","Final","1500","1300","200","13.3"
"Ontario city","Sub-County Place","2015","Annual","N","Final","81800","76500","5300","6.5"
"Rancho Cucamonga city","Sub-County Place","2015","Annual","N","Final","91700","87300","4400","4.8"
"Redlands city","Sub-County Place","2015","Annual","N","Final","33700","32500","1300","3.7"
"Rialto city","Sub-County Place","2015","Annual","N","Final","43700","40300","3400","7.7"
"Running Springs CDP","Sub-County Place","2015","Annual","N","Final","1700","1600","100","5.7"
"San Antonio Heights CDP","Sub-County Place","2015","Annual","N","Final","1400","1400","0","1.9"
"San Bernardino city","Sub-County Place","2015","Annual","N","Final","82900","76000","6800","8.3"
"Searles Valley CDP","Sub-County Place","2015","Annual","N","Final","500","400","0","9.9"
"Twentynine Palms city","Sub-County Place","2015","Annual","N","Final","6800","6200","600","8.4"
"Upland city","Sub-County Place","2015","Annual","N","Final","37800","36000","1800","4.8"
"Victorville city","Sub-County Place","2015","Annual","N","Final","44100","41000","3100","6.9"
"Wrightwood CDP","Sub-County Place","2015","Annual","N","Final","1800","1700","100","4"
"Yucaipa city","Sub-County Place","2015","Annual","N","Final","24500","22900","1600","6.6"
"Yucca Valley town","Sub-County Place","2015","Annual","N","Final","8800","8000","800","8.9"
"Bonita CDP","Sub-County Place","2015","Annual","N","Final","6100","5700","400","6.4"
"Bostonia CDP","Sub-County Place","2015","Annual","N","Final","8300","7700","600","6.7"
"Carlsbad city","Sub-County Place","2015","Annual","N","Final","53400","50900","2500","4.7"
"Casa de Oro Mount Helix CDP","Sub-County Place","2015","Annual","N","Final","9100","8500","600","6.2"
"Chula Vista city","Sub-County Place","2015","Annual","N","Final","120700","112700","8000","6.6"
"Coronado city","Sub-County Place","2015","Annual","N","Final","8600","8300","300","3"
"Del Mar city","Sub-County Place","2015","Annual","N","Final","2000","2000","0","2.1"
"El Cajon city","Sub-County Place","2015","Annual","N","Final","45600","42200","3400","7.5"
